,Unnamed: 0,名称,总价,单价,产权信息,建筑面积,户型结构,建筑类型,建筑结构,装修,梯户比,供暖,电梯,区域,具体区域,厅,厨,卫,楼层类型,总层数,东,南,西,北,东南,东北,西南,西北,室
81,81,两居室，精装修 角门东里小区 无遮挡,308.0,61898.0,non_co_ownership,49.76,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,no,no,no,southwest,no,2
82,82,正规2居室，业主诚心出售有电梯 4+10号线角门西站,452.0,57912.0,non_co_ownership,78.05,flat_floor,tower,steel_concrete_structure,hardcover,0.14285714285714285,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,18,no,south,no,no,no,no,no,no,2
83,83,司达小区东南向两居室 满五年唯一,275.0,46297.0,non_co_ownership,59.4,flat_floor,Banlou,mixed_structure,simple_decoration,0.2,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,no,no,no,southeast,no,no,no,2
84,84,马家堡角门 东西通透 近地铁 绿化好 物业好,299.0,54364.0,non_co_ownership,55.0,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,east,no,west,no,no,no,no,no,2
85,85,马家堡67号院，角门东地铁，正规一居。,295.0,52038.0,non_co_ownership,56.69,flat_floor,tower,steel_concrete_structure,simple_decoration,0.14285714285714285,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,east,no,no,no,no,no,no,no,1
86,86,大红门35号院 精装修 南北通透三居室 板楼中间楼层,498.0,62321.0,non_co_ownership,79.91,flat_floor,Banlou,mixed_structure,hardcover,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,3
87,87,马家堡角门2居室，精装修婚房，看房方便，近地铁。,338.0,52322.0,non_co_ownership,64.6,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.3333333333333333,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,14,east,no,no,no,no,no,no,no,2
88,88,10号线角门东怡然家园上下复式四居室商品房诚心卖,899.0,54360.0,non_co_ownership,165.38,duplex,Banlou,mixed_structure,hardcover,0.3333333333333333,self_heating,no,Fengtai,Corner_Gate,2,1,2,top_floor,6,no,south,no,north,no,no,no,no,4
89,89,满5唯一  98年电梯房  诚心出售,455.0,53543.0,non_co_ownership,84.98,flat_floor,tower,steel_concrete_structure,hardcover,0.16666666666666666,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,18,east,no,no,no,no,no,no,northwest,2
90,90,马家堡 枫南世嘉 电梯两居室无遮挡方正,430.0,57487.0,non_co_ownership,74.8,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.3333333333333333,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,14,no,no,no,north,no,no,no,no,2
